noise_level,method,mse,time
0.0,Classical,5.0239373697102425e-31,0.0002865791320800781
0.0,QUBO L2-norm,40.632308390509486,0.7252190113067627
0.0,QUBO Robust,47.156921089617796,0.7013890743255615
0.05,Classical,0.0023828052475943513,0.0002570152282714844
0.05,QUBO L2-norm,44.15381212936774,0.6950037479400635
0.05,QUBO Robust,46.44717398324847,0.7087724208831787
0.1,Classical,0.009730789453822265,0.00028634071350097656
0.1,QUBO L2-norm,47.26130372118184,0.7135519981384277
0.1,QUBO Robust,39.30319296135237,0.7451069355010986
0.15,Classical,0.06227633281069753,0.00024271011352539062
0.15,QUBO L2-norm,53.419331986475946,0.7223525047302246
0.15,QUBO Robust,43.25784567339983,0.7063755989074707
0.2,Classical,0.1193184458502488,0.0002560615539550781
0.2,QUBO L2-norm,41.820898999562196,0.7144389152526855
0.2,QUBO Robust,41.550211819869666,0.71555495262146
0.25,Classical,0.49407465943431983,0.0002589225769042969
0.25,QUBO L2-norm,42.46773407310741,0.6968891620635986
0.25,QUBO Robust,44.40862049837917,0.7055253982543945
0.3,Classical,0.5237163433372264,0.00024700164794921875
0.3,QUBO L2-norm,44.719621372457816,0.6955304145812988
0.3,QUBO Robust,64.50219027551265,0.7513339519500732
